model,dataset,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
SVM,Combined_test,0.9513333333333334,0.9513333333333334,0.9513272070096723,0.9513333333333334,0.9512945582238415,0.9512945582238416
SVM,ISEAR,0.6122782446311859,0.6117759011075871,0.6345853694244155,0.6117759011075871,0.6131757536293667,0.6134125534521936
SVM,GoEmotions,0.4515867291741796,0.42110078150493935,0.42123905175043885,0.42110078150493935,0.4156239723931128,0.4443316286878266
DecisionTree,Combined_test,0.5691111111111111,0.5691111111111111,0.6411093586498695,0.5691111111111111,0.5157398430651833,0.5157398430651832
DecisionTree,ISEAR,0.3566760037348273,0.3542317359045085,0.5930765296008382,0.3542317359045085,0.2839294022574013,0.28545290877629936
DecisionTree,GoEmotions,0.3250090155066715,0.29459427392940607,0.46574518307047286,0.29459427392940607,0.19798616925429136,0.1921481679904483
NaiveBayes,Combined_test,0.9137777777777778,0.9137777777777778,0.9141178504490215,0.9137777777777778,0.9137562328907947,0.9137562328907948
NaiveBayes,ISEAR,0.6020074696545284,0.6013653688205755,0.6058257959988572,0.6013653688205755,0.5998176636367898,0.6001663672196332
NaiveBayes,GoEmotions,0.4901730977280923,0.4623228518309735,0.4549698821527397,0.4623228518309735,0.45626161512415786,0.48786611827048365
BiLSTM,Combined_test,0.9765555555555555,0.9765555555555556,0.9767424193018468,0.9765555555555556,0.9765914092106054,0.9765914092106054
BiLSTM,ISEAR,0.4339402427637722,0.43274217798079584,0.5792487246043847,0.43274217798079584,0.4064867418175264,0.40685714283965563
BiLSTM,GoEmotions,0.4369816083663902,0.37756375730641384,0.4763750876800865,0.37756375730641384,0.3713633120545874,0.40133662116164526
BiGRU,Combined_test,0.9757777777777777,0.9757777777777777,0.9759576358561584,0.9757777777777777,0.975834072903669,0.975834072903669
BiGRU,ISEAR,0.5387488328664799,0.5377670142163361,0.6666613037008927,0.5377670142163361,0.5229944846319892,0.5231855734161579
BiGRU,GoEmotions,0.42445005409304004,0.385820514554766,0.4651300423362298,0.385820514554766,0.37502760787634304,0.39736222546731764
Own-DistilBERT,Combined_test,0.981,0.981,0.981057150283855,0.981,0.9810125468677127,0.9810125468677127
Own-DistilBERT,ISEAR,0.7411297852474323,0.740507930039876,0.7624539911593415,0.740507930039876,0.7409437071966977,0.741203934451644
Own-DistilBERT,GoEmotions,0.6343310494049765,0.5830370076840886,0.626425726078191,0.5830370076840886,0.5937131999792751,0.6281212316387315
Own-DistilRoBERTa,Combined_test,0.9807777777777777,0.9807777777777777,0.9809754542903288,0.9807777777777777,0.9808238255786734,0.9808238255786734
Own-DistilRoBERTa,ISEAR,0.6932773109243697,0.6921061640578088,0.7631819900915271,0.6921061640578088,0.6941242277364579,0.6945097784867694
Own-DistilRoBERTa,GoEmotions,0.5948431301839163,0.5368106959003123,0.6400397489106706,0.5368106959003123,0.547865476637869,0.5771756524150619
Own-DeBERTaV3,Combined_test,0.9833333333333333,0.9833333333333334,0.9835935623249488,0.9833333333333334,0.9833523848237652,0.9833523848237653
Own-DeBERTaV3,ISEAR,0.7836134453781513,0.7828186281491387,0.8086274918335847,0.7828186281491387,0.7842120525055037,0.7844996391656536
Own-DeBERTaV3,GoEmotions,0.6200865488640461,0.5646484694418019,0.6615621572037191,0.5646484694418019,0.5797228373894809,0.6105669639036247
Emotion-RoBERTa,Combined_test,0.583,0.583,0.6354577396431279,0.583,0.5804232806100343,0.5804232806100343
Emotion-RoBERTa,ISEAR,0.6430905695611578,0.6443912796525115,0.7552231108102896,0.6443912796525115,0.6421074960486799,0.64240431607529
Emotion-RoBERTa,GoEmotions,0.8003065272268302,0.774680387965172,0.7903163195419403,0.774680387965172,0.781354466562453,0.7990550206868146
Emotion-BERT,Combined_test,0.973,0.973,0.9730019079509611,0.973,0.9729615236660404,0.9729615236660403
Emotion-BERT,ISEAR,0.7093837535014006,0.7087570492371676,0.7192276573410485,0.7087570492371676,0.7089164345039065,0.7092052563745548
Emotion-BERT,GoEmotions,0.6190046880634692,0.578323806679997,0.5931567298207271,0.578323806679997,0.5799460728034166,0.6110635031586575
Emotion-DeBERTaV3,Combined_test,0.9741111111111111,0.9741111111111111,0.9741904227919813,0.9741111111111111,0.9740892791382929,0.9740892791382927
Emotion-DeBERTaV3,ISEAR,0.7327264239028944,0.7322871805124787,0.7454678615932918,0.7322871805124787,0.7326785662097306,0.7329548643051101
Emotion-DeBERTaV3,GoEmotions,0.6211684096646232,0.5610687906359465,0.6409602588713847,0.5610687906359465,0.5796979024430621,0.6141018040834338
