model,macro_f1,accuracy
Own-DeBERTaV3,0.7824290915729165,0.7956777758585103
Own-DistilBERT,0.7718898180145618,0.7854869448841363
Emotion-DeBERTaV3,0.7621552492636953,0.7760019815595429
Emotion-BERT,0.7539413436577878,0.7671294805216232
Own-DistilRoBERTa,0.7409378433176667,0.7562994062953546
Emotion-RoBERTa,0.6679617477403891,0.6754656989293294
SVM,0.660031428082107,0.6717327690462329
NaiveBayes,0.6566118372172475,0.6686527817201329
BiGRU,0.6246187218040004,0.6463255549124326
BiLSTM,0.5848138210275731,0.6158258022285726
DecisionTree,0.33255180485895863,0.4169320434508699
