method_a,method_b,n,jaccard,spearman,cosine
IG_BiGRU,IG_BiLSTM,30,0.693425365484189,0.47169250971544224,0.8562327036639142
IG_BiGRU,LIME_DecisionTree,30,0.6318285601567336,-0.01884252469065502,0.21409450463708776
IG_BiGRU,LIME_NaiveBayes,30,0.645442792501616,0.3577203517719271,0.5954630477707945
IG_BiGRU,LIME_Own-DeBERTaV3,30,0.6566427037015271,0.27799254942706825,0.6604266324469654
IG_BiGRU,LIME_Own-DistilBERT,30,0.6031261222437693,0.19546498109945362,0.6549054117598039
IG_BiGRU,LIME_Own-DistilRoBERTa,30,0.6316072816072816,0.22483859438635806,0.6247055035016688
IG_BiLSTM,LIME_DecisionTree,30,0.6118445280209986,0.09726480157053974,0.2824697229457467
IG_BiLSTM,LIME_NaiveBayes,30,0.6367151367151368,0.33140331305023424,0.6536538648069709
IG_BiLSTM,LIME_Own-DeBERTaV3,30,0.6125685316861788,0.20654157277599727,0.7216311918471894
IG_BiLSTM,LIME_Own-DistilBERT,30,0.6139804639804639,0.19425064204944034,0.7281849279853002
IG_BiLSTM,LIME_Own-DistilRoBERTa,30,0.6244782994782996,0.1604551323569242,0.6956068272873673
LIME_DecisionTree,LIME_NaiveBayes,30,0.6088432809021044,-0.028069367158278347,0.2677272270292869
LIME_DecisionTree,LIME_Own-DeBERTaV3,30,0.6272957835651333,0.01049241812993387,0.32253639965466907
LIME_DecisionTree,LIME_Own-DistilBERT,30,0.6116098899380634,0.020766931194187096,0.3153494974290079
LIME_DecisionTree,LIME_Own-DistilRoBERTa,30,0.6284464446229152,-0.02401629089751908,0.3222061402937309
LIME_NaiveBayes,LIME_Own-DeBERTaV3,30,0.6479902450490688,0.32084271120438423,0.6873620046465093
LIME_NaiveBayes,LIME_Own-DistilBERT,30,0.6340403060991295,0.29899739588665,0.6974121651403576
LIME_NaiveBayes,LIME_Own-DistilRoBERTa,30,0.6514867485455721,0.33688090544824095,0.6743224847150844
LIME_Own-DeBERTaV3,LIME_Own-DistilBERT,30,0.6557054057054058,0.569832342890943,0.9280716695244405
LIME_Own-DeBERTaV3,LIME_Own-DistilRoBERTa,30,0.6987623487623489,0.5825963896671335,0.9278758071295254
LIME_Own-DistilBERT,LIME_Own-DistilRoBERTa,30,0.6773171273171273,0.5832988188107403,0.9349360945873703
